eid,canonical_name,entity_type,is_inferred,created_source,fund_rows,fund_aum_usd,filer_rows,filer_aum_usd,ech_class,ech_is_activist,ech_source,ciks
14865,Global Atlantic BlackRock Allocation Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14871,Global Atlantic BlackRock Disciplined International Core Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14872,Global Atlantic BlackRock Selects Managed Risk Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14874,Global Atlantic BlackRock Disciplined Core Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
14875,Global Atlantic BlackRock Disciplined Value Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15066,Transamerica BlackRock iShares Tactical - Growth VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15067,Transamerica BlackRock iShares Tactical - Conservative VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15076,Transamerica BlackRock iShares Active Asset Allocation - Conservative VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15078,Transamerica BlackRock iShares Active Asset Allocation - Moderate VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15080,Transamerica BlackRock iShares Edge 100 VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15083,Transamerica BlackRock Real Estate Securities VP,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15087,Transamerica BlackRock Tactical Allocation VP,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15091,Transamerica BlackRock iShares Edge 40 VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15092,Transamerica BlackRock iShares Dynamic Allocation - Balanced VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15093,Transamerica BlackRock iShares Tactical - Balanced VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15095,Transamerica BlackRock iShares Dynamic Allocation - Moderate Growth VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15098,Transamerica BlackRock iShares Active Asset Allocation - Moderate Growth VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15101,Transamerica BlackRock iShares Edge 75 VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15103,Transamerica BlackRock iShares Edge 50 VP,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15199,AVIP BlackRock Advantage Large Cap Core Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15201,AVIP BlackRock Advantage International Equity Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15204,AVIP BlackRock Advantage Large Cap Growth Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15205,AVIP BlackRock Balanced Allocation Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15207,AVIP BlackRock Advantage Small Cap Growth Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15208,AVIP BlackRock Advantage Large Cap Value Portfolio,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15220,"BlackRock Advantage Global Fund, Inc.",fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15223,BlackRock International Select Equity Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15224,BlackRock LifePath Dynamic 2035 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15225,BlackRock LifePath Dynamic Retirement Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15226,BlackRock LifePath Index 2055 Fund,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15228,BlackRock LifePath Index 2035 Fund,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15229,BlackRock LifePath Index 2050 Fund,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15231,BlackRock LifePath Dynamic 2030 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15233,BlackRock LifePath Index 2045 Fund,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15234,BlackRock Diversified Equity Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15235,BlackRock LifePath Dynamic 2065 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15236,BlackRock LifePath Index 2065 Fund,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15237,BlackRock LifePath Dynamic 2055 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15238,BlackRock LifePath Dynamic 2040 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15239,BlackRock LifePath Index Retirement Fund,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15240,BlackRock LifePath Index 2060 Fund,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15241,BlackRock LifePath Dynamic 2045 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15243,BlackRock LifePath Dynamic 2050 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15244,BlackRock LifePath Dynamic 2060 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
15245,BlackRock LifePath Index 2030 Fund,fund,True,fund_universe,,0.0,,0.0,passive,False,fund_universe,
15246,BlackRock LifePath Dynamic 2070 Fund,fund,True,fund_universe,,0.0,,0.0,active,False,fund_universe,
