cik,fund_rows,fund_aum,distinct_brand_eids,brand_eid,brand_name,brand_canonical_name,brand_entity_type
0001319183,330,101379727.52999994,1,26840,First Trust Mortgage Income Fund,First Trust Mortgage Income Fund,institution
0000846671,297,101367479.78999996,1,26661,Invesco High Income Trust II,Invesco High Income Trust II,institution
0001859001,3525,100406582.03999999,3,2489,"WisdomTree Digital Management, Inc.","Voya Financial, Inc.",institution
0001514490,109,100103521.16000001,1,26904,"ROYCE GLOBAL TRUST, INC.","ROYCE GLOBAL TRUST, INC.",institution
0001018368,182,99097387.60999998,1,17172,"AB GLOBAL REAL ESTATE INVESTMENT FUND, INC.","AB GLOBAL REAL ESTATE INVESTMENT FUND, INC.",fund
0002044490,1036,98871387.94999999,1,27230,SEG Partners Long/Short Equity Fund,SEG Partners Long/Short Equity Fund,institution
0002020645,701,97440749.03999998,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0001086884,280,96184379.59,1,20,Gabelli,Gabelli,institution
0001847305,37,96009767.74999997,1,27078,"Tax-Free Fixed Income Fund IV for Puerto Rico Residents, Inc.","Tax-Free Fixed Income Fund IV for Puerto Rico Residents, Inc.",institution
0000833021,719,95001032.16000004,1,26651,MFS INTERMEDIATE HIGH INCOME FUND,MFS INTERMEDIATE HIGH INCOME FUND,institution
0002036648,159,93569726.58000001,1,27218,FT Vest Rising Dividend Achievers Total Return Fund,FT Vest Rising Dividend Achievers Total Return Fund,institution
0001897540,52,92078530.65,1,27120,AOG Institutional Fund,AOG Institutional Fund,institution
0000925463,244,91521315.30999999,1,20,Gabelli,Gabelli,institution
