block,series_id,fund_name,current_value,proposed_value,source,new_strategy_source,support_quarter,support_row_count,support_sum_mv,support_implied_nav
B,S000005797,Hawaii Municipal Bond Fund,,170512712.55,canonical_nport,orphan_backfill_2026Q2,2025Q4,210,168118767.88,170512712.55
B,S000006430,SHORT DURATION MUNICIPAL FUND,,751652130.89,canonical_nport,orphan_backfill_2026Q2,2025Q4,510,746439529.12,751652130.89
B,S000006431,PENNSYLVANIA MUNICIPAL BOND FUND,,135511165.55,canonical_nport,orphan_backfill_2026Q2,2025Q4,112,133981766.40,135511165.55
B,S000006432,MASSACHUSETTS MUNICIPAL BOND FUND,,61350387.21,canonical_nport,orphan_backfill_2026Q2,2025Q4,72,62334777.07,61350387.21
B,S000006434,NEW YORK MUNICIPAL BOND FUND,,111082425.94,canonical_nport,orphan_backfill_2026Q2,2025Q4,77,110774427.12,111082425.94
B,S000006435,NEW JERSEY MUNICIPAL BOND FUND,,92422513.81,canonical_nport,orphan_backfill_2026Q2,2025Q4,83,91134735.75,92422513.81
B,S000006436,CALIFORNIA MUNICIPAL BOND FUND,,229020645.41,canonical_nport,orphan_backfill_2026Q2,2025Q4,137,226969846.64,229020645.41
B,S000006439,INTERMEDIATE-TERM MUNICIPAL FUND,,1552305921.44,canonical_nport,orphan_backfill_2026Q2,2025Q4,839,1532878329.25,1552305921.44
B,S000008266,SDIT Ultra Short Duration Bond Fund,,193259997.29,canonical_nport,orphan_backfill_2026Q2,2026Q1,460,192153392.79,193259997.29
B,S000008267,SDIT Short Duration Government Fund,,592863611.94,canonical_nport,orphan_backfill_2026Q2,2026Q1,415,684635628.06,592863611.94
B,S000008269,SDIT GNMA FUND,,11170336.63,canonical_nport,orphan_backfill_2026Q2,2026Q1,266,10959865.75,11170336.63
B,S000008394,VOYA GNMA INCOME FUND,,1071888177.05,canonical_nport,orphan_backfill_2026Q2,2025Q4,799,1318189905.19,1071888177.05
B,S000008395,Voya High Yield Bond Fund,,215349770.60,canonical_nport,orphan_backfill_2026Q2,2025Q4,93,211699191.51,215349770.60
B,S000008396,VOYA INTERMEDIATE BOND FUND,,9887176416.03,canonical_nport,orphan_backfill_2026Q2,2025Q4,2482,10686178490.87,9887176416.03
B,S000008754,Templeton Global Bond Fund,,3007992557.93,canonical_nport,orphan_backfill_2026Q2,2025Q4,109,2916479542.58,3007992557.93
B,S000008760,VOYA INTERMEDIATE BOND PORTFOLIO,,918997739.47,canonical_nport,orphan_backfill_2026Q2,2025Q4,1941,922450078.65,918997739.47
B,S000009040,Federated Hermes Government Income Fund,,150115639.06,canonical_nport,orphan_backfill_2026Q2,2026Q1,94,191547146.19,150115639.06
B,S000009041,Federated Hermes Short-Intermediate Government Fund,,97833270.58,canonical_nport,orphan_backfill_2026Q2,2026Q1,45,97324943.86,97833270.58
B,S000009068,"Federated Hermes Sustainable High Yield Bond Fund, Inc.",,499223247.58,canonical_nport,orphan_backfill_2026Q2,2025Q4,400,491744551.83,499223247.58
B,S000009070,"Federated Hermes Municipal Bond Fund, Inc.",,213912959.77,canonical_nport,orphan_backfill_2026Q2,2025Q4,151,211909794.97,213912959.77
B,S000009085,Federated Hermes Short-Intermediate Municipal Fund,,388930339.37,canonical_nport,orphan_backfill_2026Q2,2025Q4,197,386063439.23,388930339.37
B,S000009108,Hawaiian Tax-Free Trust,,374790375.84,canonical_nport,orphan_backfill_2026Q2,2025Q4,96,368508462.48,374790375.84
B,S000009127,Mortgage Core Fund,,4732244434.06,canonical_nport,orphan_backfill_2026Q2,2025Q4,430,5558675471.15,4732244434.06
B,S000009129,High Yield Bond Core Fund,,1058205531.96,canonical_nport,orphan_backfill_2026Q2,2025Q4,463,1046920104.31,1058205531.96
B,S000009229,American High-Income Municipal Bond Fund,,13868777725.64,canonical_nport,orphan_backfill_2026Q2,2026Q1,3769,13735366410.81,13868777725.64
B,S000009230,American High Income Trust,,26560590499.87,canonical_nport,orphan_backfill_2026Q2,2025Q4,1027,26300655375.68,26560590499.87
B,S000009231,Bond Fund of America,,98590260930.78,canonical_nport,orphan_backfill_2026Q2,2025Q4,5801,101149751896.57,98590260930.78
B,S000009236,Intermediate Bond Fund of America,,27417977015.30,canonical_nport,orphan_backfill_2026Q2,2025Q4,2849,28536743012.33,27417977015.30
B,S000009237,Limited Term Tax Exempt Bond Fund of America,,6044718583.59,canonical_nport,orphan_backfill_2026Q2,2026Q1,1923,6057180459.61,6044718583.59
B,S000009238,Tax Exempt Bond Fund of America,,24356812816.11,canonical_nport,orphan_backfill_2026Q2,2026Q1,5288,24410567788.31,24356812816.11
B,S000009240,Capital World Bond Fund,,9852458428.38,canonical_nport,orphan_backfill_2026Q2,2025Q4,2574,9864997061.99,9852458428.38
B,S000009768,AFL CIO Housing Investment Trust,,7302528948.72,canonical_nport,orphan_backfill_2026Q2,2025Q4,874,7388534378.77,7302528948.72
B,S000009981,AB HIGH INCOME FUND INC,,3139473236.85,canonical_nport,orphan_backfill_2026Q2,2026Q1,1080,3128953942.86,3139473236.85
B,S000010055,Series P (High Yield Series),,28099690.45,canonical_nport,orphan_backfill_2026Q2,2025Q4,281,27588923.89,28099690.45
B,S000010066,Series E (Total Return Bond Series),,190224945.65,canonical_nport,orphan_backfill_2026Q2,2025Q4,737,231161895.73,190224945.65
B,S000010128,"AB GLOBAL BOND FUND, INC.",,6599351269.09,canonical_nport,orphan_backfill_2026Q2,2025Q4,1788,7406895027.37,6599351269.09
B,S000010534,CM ADVISORS FIXED INCOME FUND,,28170657.92,canonical_nport,orphan_backfill_2026Q2,2025Q4,82,27809060.31,28170657.92
B,S000010876,AB Corporate Income Shares,,173560747.77,canonical_nport,orphan_backfill_2026Q2,2026Q1,276,169107634.75,173560747.77
B,S000010934,Federated Hermes Institutional High Yield Bond Fund,,5368437113.80,canonical_nport,orphan_backfill_2026Q2,2026Q1,461,5335744164.39,5368437113.80
