outer_top_parent,outer_family,family_match,n_rows,aum_b
332.0,Northern Lights Fund Trust IV,extra_family,7,0.010035221320000001
333.0,Two Roads Shared Trust,extra_family,4,0.15936640132
379.0,Columbia Funds Variable Series Trust II,extra_family,24,0.5782677550499999
379.0,HARBOR FUNDS,extra_family,4,0.10356629680000001
379.0,STATE STREET VARIABLE INSURANCE SERIES FUNDS INC,extra_family,33,0.0017959944400000002
393.0,Meridian Fund Inc,extra_family,30,0.15375155618999997
491.0,Advisor Managed Portfolios,extra_family,48,0.43436110428999997
564.0,NORTHWESTERN MUTUAL SERIES FUND INC,extra_family,245,2.53350203756
564.0,NORTHWESTERN MUTUAL SERIES FUND INC,intra_family,1,0.0018279018799999998
564.0,NORTHWESTERN MUTUAL SERIES FUND INC,unknown_match,1,0.010891923199999999
568.0,MONETTA TRUST,extra_family,18,0.053820787
