filer_cik,filer_name,filing_count,targets,latest_filing,earliest_filing,last_form_type,auto_classification,manual_classification,existing_entity_id,action,notes
1385015,Dewey Christopher C,1,1,2023-08-21,2023-08-21,SC 13G,INSTITUTION,INDIVIDUAL,,,
2000775,"Black Hawk Acquisition Corp  (BKHA, BKHAR, BKHAU)",1,1,2024-11-14,2024-11-14,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1746475,Priore Thomas Charles,1,1,2024-06-21,2024-06-21,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1726497,Palm Management (US) LLC,1,1,2022-02-14,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1512895,Bright Unison Ltd,1,1,2022-02-04,2022-02-04,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1922235,Herr Investment Group LLC,1,1,2024-09-16,2024-09-16,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1767648,Cottage Holdco B.V.,1,1,2023-02-10,2023-02-10,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1560220,Famatown Finance Ltd,1,1,2024-04-22,2024-04-22,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1766478,"Angel Oak Mortgage, Inc.  (AOMN, AOMR)",1,1,2022-08-31,2022-08-31,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1862114,Davis Ted,1,1,2022-02-14,2022-02-14,SC 13G,INSTITUTION,INDIVIDUAL,,,
1259566,HEILBRONN CHARLES,1,1,2022-02-14,2022-02-14,SC 13G,INSTITUTION,INDIVIDUAL,,,
1996276,"Immunome Aggregator, LP",1,1,2023-10-12,2023-10-12,SC 13D,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1967976,Levine Alan D.,1,1,2023-07-31,2023-07-31,SC 13D,INSTITUTION,INDIVIDUAL,,,
940780,Harpel James W,1,1,2022-02-14,2022-02-14,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1682317,"VINEYARD CAPITAL PARTNERS, L.L.C.",1,1,2024-08-07,2024-08-07,SC 13G,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1843121,Magnum Opus Acquisition Ltd,1,1,2024-02-13,2024-02-13,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
16732,CAMPBELL SOUP CO,1,1,2023-08-08,2023-08-08,SC 13D,INSTITUTION,INDIVIDUAL,,,
1564590,Alain B dard,1,1,2022-02-10,2022-02-10,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
