investor_name,ciks,positions,aum_mm,total_shares
Arizona PSPRS Trust,1,18,2716.6,32902664
"Delta Accumulation, LLC",1,98,2714.4,9645512
Potomac Fund Management Inc /adv,1,101,2713.5,21571867
Brighton Jones LLC,1,55,2711.4,30825623
First Merchants Corp,1,229,2700.3,291763536
"Route One Investment Company, L.P.",1,14,2692.1,28661687
North Dakota State Investment Board,1,799,2687.4,22938405
"TPG Gp A, LLC",1,10,2686.7,245126864
Zhang Financial LLC,1,335,2681.7,28399309
"Ameritas Advisory Services, LLC",1,833,2680.0,32353661
Klingenstein Fields & Co LP,1,182,2666.0,15140680
Gladstone Institutional Advisory LLC,1,726,2648.1,37188298
"CBIZ Investment Advisory Services, LLC",1,742,2644.4,21266813
Carrhae Capital LLP,1,30,2643.3,70731098
Cercano Management LLC,1,143,2642.6,39429822
Balentine LLC,1,216,2636.4,44259512
F/m Investments LLC,1,407,2631.0,24401579
Aviso Financial Inc.,1,324,2631.0,24007859
Canada Post Corp Registered Pension Plan,1,492,2625.5,25936332
Capital Counsel LLC /NY/,1,55,2618.6,10213094
"Welch Group, LLC",1,301,2594.1,21686699
Alphabet Inc.,1,28,2579.8,105852195
"Cornerstone Investment Partners, LLC",1,213,2579.2,12558678
"Leonard Green & Partners, L.P.",1,5,2570.9,386685204
"Livforsakringsbolaget Skandia, Omsesidigt",1,480,2567.5,14770220
NS Partners Ltd,1,72,2552.7,18765369
"GM Advisory Group, LLC",1,324,2552.4,32761146
First Beijing Investment Ltd,1,8,2535.5,162695831
Chesley Taft & Associates LLC,1,365,2534.0,16808658
Waldron Private Wealth LLC,1,316,2530.2,17994729
Mantle Ridge LP,1,2,2503.6,16211910
"Nishkama Capital, LLC",1,53,2495.0,21950860
"Bogart Wealth, LLC",1,1460,2492.1,29962385
Renaissance Group LLC,1,224,2490.4,22537111
Capital Asset Advisory Services LLC,1,279,2487.9,29055445
"Beacon Investment Advisory Services, Inc.",1,257,2450.4,15933279
JB Capital LLC,1,254,2449.7,25072897
"Ursa Fund Management, LLC",1,22,2438.9,8882092
Massachusetts Mutual Life Insurance Co,1,2,2425.0,85986681
"Confluence Wealth Services, Inc.",1,358,2413.9,38647579
"Nippon Life Global Investors Americas, Inc.",1,103,2413.7,12890380
Trajan Wealth LLC,1,146,2400.1,18691752
Summitry LLC,1,242,2399.9,27159809
